#Species	GC%
Thermococcus_barossii--RS_GCF_002214465.1	54.69%
Thermococcus_thioreducens--RS_GCF_002214545.1	53.45%
Thermococcus_piezophilus--RS_GCF_001647085.1	51.11%
Thermococcus_celericrescens--RS_GCF_001484195.1	54.29%
Thermococcus_siculi--RS_GCF_002214505.1	54.99%
Thermococcus_cleftensis--RS_GCF_000265525.1	55.82%
Thermococcus_kodakarensis--RS_GCF_000009965.1	52.0%
Thermococcus_peptonophilus--RS_GCF_001592435.1	51.74%
Thermococcus_gammatolerans--RS_GCF_000022365.1	53.56%
Thermococcus_eurythermalis--RS_GCF_000769655.1	53.45%
Thermococcus_nautili--RS_GCF_000585495.1	54.84%
Thermococcus_guaymasensis--RS_GCF_000816105.1	52.86%
Thermococcus_zilligii--RS_GCF_000258515.1	54.48%
Thermococcus_gorgonarius--RS_GCF_002214385.1	51.67%
Thermococcus_barophilus--RS_GCF_000151105.2	41.67%
Thermococcus_paralvinellae--RS_GCF_000517445.1	40.3%
Pyrococcus_furiosus--RS_GCF_000007305.1	40.77%
Thermococcus_chitonophagus--RS_GCF_002214605.1	44.92%
Pyrococcus_kukulkanii--RS_GCF_001577775.1	44.62%
Pyrococcus_yayanosii--RS_GCF_000215995.1	51.64%
Thermococcus_litoralis--RS_GCF_000246985.2	43.09%
Thermococcus_sibiricus--RS_GCF_000022545.1	40.2%
Methanococcus_aeolicus--RS_GCF_000017185.1	30.04%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Methanotorris_formicicus--RS_GCF_000243455.1	32.44%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
Methanocaldococcus_fervens--RS_GCF_000023985.1	32.22%
Methanocaldococcus_bathoardescens--RS_GCF_000739065.1	30.79%
Methanocaldococcus_jannaschii--RS_GCF_000091665.1	31.29%
Methanocaldococcus_infernus--RS_GCF_000092305.1	33.62%
Methanocaldococcus_villosus--RS_GCF_000371805.1	29.5%
Staphylothermus_hellenicus--RS_GCF_000092465.1	36.84%
Thermogladius_calderae--RS_GCF_000264495.1	55.64%
Thermofilum_adornatum--RS_GCF_000813245.1	46.4%
Thermofilum_pendens--GB_GCA_011363115.1	59.33%
Thermofilum_uzonense--RS_GCF_000993805.1	47.94%
Nitrososphaera_viennensis--RS_GCF_000698785.1	52.72%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanococcus_vannielii--RS_GCF_000017165.1	31.33%
Methanobacterium_paludis--RS_GCF_000214725.1	35.73%
Methanothermus_fervidus--RS_GCF_000166095.1	31.64%
Thermococcus_celer--RS_GCF_002214365.1	56.45%
