#Species	GC%
Thiohalocapsa_marina--RS_GCF_008632335.1	65.94%
Thioflavicoccus_mobilis--RS_GCF_000327045.1	65.59%
Sulfurivirga_caldicuralii--RS_GCF_900141795.1	59.19%
Methylomicrobium_agile--RS_GCF_000733855.1	56.17%
Methylocaldum_szegediense--RS_GCF_000427385.1	57.03%
Thiorhodospira_sibirica--RS_GCF_000227725.1	56.7%
Acidihalobacter_aeolianus--RS_GCF_001753165.1	61.83%
Acidihalobacter_ferrooxydans--RS_GCF_001975725.1	61.52%
Spiribacter_curvatus--RS_GCF_000485905.1	63.86%
Spiribacter_salinus--RS_GCF_000319575.2	62.65%
Arhodomonas_aquaeolei--RS_GCF_000374645.1	69.33%
Nitrococcus_mobilis--RS_GCF_000153205.1	59.87%
Aquisalimonas_asiatica--RS_GCF_900110585.1	66.01%
Halorhodospira_halochloris--RS_GCF_002356555.2	56.03%
Halorhodospira_halophila--RS_GCF_000015585.1	67.98%
Alkalispirillum_mobile--RS_GCF_003664325.1	66.38%
Alkalilimnicola_ehrlichii--RS_GCF_003399765.1	58.58%
Abyssibacter_profundi--RS_GCF_003151135.1	63.15%
Marinobacter_hydrocarbonoclasticus--RS_GCF_000284615.1	57.43%
Halomonas_elongata--RS_GCF_000196875.2	63.61%
Alcanivorax_borkumensis--RS_GCF_000009365.1	54.73%
Acidihalobacter_prosperus--RS_GCF_000754095.2	64.42%
Marinobacter_changyiensis--RS_GCF_009193265.1	56.24%
Marinobacter_oulmenensis--RS_GCF_014201735.1	59.37%
Marinobacter_lutaoensis--RS_GCF_001981305.1	63.23%
Halomonas_utahensis--RS_GCF_900162675.1	61.8%
Hydrocarboniclastica_marina--RS_GCF_004851605.1	57.9%
Zooshikella_ganghwensis--RS_GCF_000428585.1	41.02%
Microbulbifer_yueqingensis--RS_GCF_900100355.1	62.01%
Alcanivorax_mobilis--RS_GCF_002864685.1	63.42%
Thiorhodococcus_minor--RS_GCF_010820565.1	64.81%
Imhoffiella_purpurea--RS_GCF_000585215.1	64.78%
