#Species	GC%
Ruminiclostridium_papyrosolvens--RS_GCF_000175795.2	37.02%
Ruminiclostridium_cellobioparum--RS_GCF_000350485.1	41.2%
Dietzia_cercidiphylli--RS_GCF_014145145.1	69.8%
Dietzia_psychralcaliphila--RS_GCF_003096095.1	69.66%
Gordonia_sihwensis--RS_GCF_000333035.1	68.15%
Amycolatopsis_eburnea--RS_GCF_003937945.1	71.84%
Amycolatopsis_kentuckyensis--RS_GCF_002155975.1	71.72%
Amycolatopsis_benzoatilytica--RS_GCF_000383915.1	69.95%
Saccharothrix_ecbatanensis--RS_GCF_014205015.1	70.14%
Aeromicrobium_erythreum--RS_GCF_001509405.1	72.14%
Kribbella_monticola--RS_GCF_003261635.1	67.82%
Kribbella_catacumbae--RS_GCF_000372465.1	67.5%
Kribbella_qitaiheensis--RS_GCF_014217565.1	67.43%
Kribbella_sandramycini--RS_GCF_013131805.1	69.16%
Kribbella_flavida--RS_GCF_000024345.1	70.57%
Actinomarinicola_tropica--RS_GCF_009650215.1	72.56%
Thermoflexus_hugenholtzii--RS_GCF_900187885.1	67.34%
Dictyobacter_vulcani--RS_GCF_008974265.1	49.7%
Ktedonobacter_racemifer--RS_GCF_000178855.1	53.79%
Leptolinea_tardivitalis--RS_GCF_001050275.1	46.82%
Pelolinea_submarina--RS_GCF_003966975.1	50.61%
Anaerolinea_thermophila--RS_GCF_000199675.1	53.85%
Caldilinea_aerophila--RS_GCF_000281175.1	58.77%
Dehalogenimonas_alkenigignens--RS_GCF_001466665.1	55.82%
Dehalogenimonas_formicexedens--RS_GCF_001953175.1	53.96%
Dehalogenimonas_lykanthroporepellens--RS_GCF_000143165.1	55.04%
Dehalococcoides_mccartyi--RS_GCF_000011905.1	48.85%
Tepidiforma_bonchosmolovskayae--RS_GCF_008838325.1	69.88%
Thermodesulfitimonas_autotrophica--RS_GCF_003815015.1	59.62%
Dictyoglomus_thermophilum--RS_GCF_000020965.1	33.74%
Amycolatopsis_orientalis--RS_GCF_000478275.1	68.96%
Saccharothrix_australiensis--RS_GCF_003634935.1	73.46%
Dictyobacter_aurantiacus--RS_GCF_003967515.1	53.97%
Clostridium_chromiireducens--RS_GCF_002029255.1	30.12%
Clostridium_perfringens--RS_GCF_000013285.1	28.38%
Clostridium_drakei--RS_GCF_000633595.2	29.51%
Clostridium_carboxidivorans--RS_GCF_001038625.1	29.93%
Clostridium_sulfidigenes--RS_GCF_000732635.1	30.0%
Thermobrachium_celere--RS_GCF_000430995.1	28.93%
