#Species	GC%
Methanothermobacter_marburgensis--RS_GCF_000145295.1	48.64%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanothermobacter_tenebrarum--RS_GCF_003264935.1	40.03%
Ferroglobus_placidus--RS_GCF_000025505.1	44.14%
Archaeoglobus_veneficus--RS_GCF_000194625.1	47.05%
Archaeoglobus_fulgidus--GB_GCA_011048195.1	43.08%
Archaeoglobus_sulfaticallidus--RS_GCF_000385565.1	43.24%
Desulfurococcus_amylolyticus--RS_GCF_000513855.1	45.16%
Desulfurococcus_mucosus--RS_GCF_000186365.1	53.14%
Thermosphaera_aggregans--GB_GCA_011053855.1	46.51%
Staphylothermus_hellenicus--RS_GCF_000092465.1	36.84%
Thermogladius_calderae--RS_GCF_000264495.1	55.64%
Acidilobus_saccharovorans--RS_GCF_000144915.1	57.22%
Pyrodictium_delaneyi--RS_GCF_001412615.1	53.91%
Pyrodictium_occultum--RS_GCF_001462395.1	63.5%
Ignisphaera_aggregans--GB_GCA_011375585.1	33.86%
Fervidicoccus_fontis--RS_GCF_000258425.1	37.47%
Thermofilum_adornatum--RS_GCF_000813245.1	46.4%
Thermofilum_pendens--GB_GCA_011363115.1	59.33%
Thermofilum_uzonense--RS_GCF_000993805.1	47.94%
Nitrososphaera_viennensis--RS_GCF_000698785.1	52.72%
Methanobrevibacter_arboriphilus--RS_GCF_000513315.1	25.52%
Methanosphaera_cuniculi--RS_GCF_003149675.1	28.08%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Methanobacterium_subterraneum--RS_GCF_002813695.1	39.4%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanobacterium_congolense--RS_GCF_900095295.1	38.49%
Methanobacterium_lacus--RS_GCF_000191585.1	35.83%
Methanobacterium_paludis--RS_GCF_000214725.1	35.73%
Methanobacterium_veterum--RS_GCF_000745485.1	33.17%
Methanobacterium_bryantii--RS_GCF_002287175.1	33.19%
