#Species	GC%
Ereboglobus_luteus--RS_GCF_003096195.1	59.67%
Nibricoccus_aquaticus--RS_GCF_002310495.1	62.25%
Cephaloticoccus_primus--RS_GCF_001580015.1	63.03%
Cephaloticoccus_capnophilus--RS_GCF_001580045.1	60.54%
Oleiharenicola_lentus--RS_GCF_004118375.1	65.3%
Rhodococcus_coprophilus--RS_GCF_001895045.1	66.88%
Sinomonas_susongensis--RS_GCF_005877005.1	68.64%
Sinomonas_mesophila--RS_GCF_001999765.1	71.13%
Acidimicrobium_ferrooxidans--RS_GCF_000023265.1	68.29%
Prosthecobacter_fusiformis--RS_GCF_004364345.1	56.66%
Thiohalocapsa_marina--RS_GCF_008632335.1	65.94%
Akkermansia_glycaniphila--RS_GCF_001683795.1	57.67%
Akkermansia_muciniphila--RS_GCF_000020225.1	55.76%
Brevifollis_gellanilyticus--RS_GCF_007992435.1	59.93%
Prosthecobacter_vanneervenii--RS_GCF_014203095.1	60.54%
Verrucomicrobium_spinosum--RS_GCF_000172155.1	60.31%
Coraliomargarita_akajimensis--RS_GCF_000025905.1	53.6%
Coraliomargarita_sinensis--RS_GCF_003185655.1	54.69%
Puniceicoccus_vermicola--RS_GCF_014230055.1	54.67%
Ruficoccus_amylovorans--RS_GCF_014230085.1	60.3%
Pelagicoccus_albus--RS_GCF_014230145.1	52.27%
Geminisphaera_colitermitum--RS_GCF_000171235.2	60.93%
Rariglobus_hedericola--RS_GCF_007559335.1	60.63%
Opitutus_terrae--RS_GCF_000019965.1	65.34%
