#Matching species	Similarity (%)
Simkania negevensis--Simkaniaceae--FR872582 (Valid)	88.41201716738198
Parachlamydia acanthamoebae--Parachlamydiaceae--Y07556 (Valid)	86.6571018651363
Neochlamydia hartmannellae--Parachlamydiaceae--AF177275 (Valid)	85.5072463768116
Waddlia chondrophila--Waddliaceae--CP001928 (Valid)	85.26466380543634
Chlamydia muridarum--Chlamydiaceae--D85718 (Valid)	83.1908831908832
Chlamydia pecorum--Chlamydiaceae--D88317 (Valid)	83.16690442225392
Chlamydia trachomatis--Chlamydiaceae--D89067 (Valid)	82.76353276353277
Chlamydia suis--Chlamydiaceae--U73110 (Valid)	82.5962910128388
Chlamydia avium--Chlamydiaceae--CP006571 (Valid)	82.40343347639485
Chlamydia pneumoniae--Chlamydiaceae--AE009440 (Valid)	82.16833095577746
Chlamydia gallinacea--Chlamydiaceae--GQ398026 (Valid)	81.85907046476761
Alkalicoccus halolimnae--Bacillaceae--KX618877 (Valid)	75.67954220314735
Alkalicoccus urumqiensis--Bacillaceae--KM066107--NOT VALID	74.42528735632183
Orbus hercynius--Orbaceae--FJ612598 (Valid)	74.1654571843251
Evansella polygoni--Bacillaceae--AB292819--NOT VALID	74.10071942446042
Acidithiobacillus thiooxidans--Acidithiobacillaceae--AFOH01000120 (Valid)	73.9568345323741
Acidithiobacillus albertensis--Acidithiobacillaceae--KF537578 (Valid)	73.81294964028777
Desulfitobacterium chlororespirans--Peptococcaceae--U68528 (Valid)	73.78497790868926
Alkalicoccus luteus--Bacillaceae--HE996968--NOT VALID	73.6923076923077
Paenibacillus agarexedens--Paenibacillaceae--AJ345020 (Valid)	73.64568081991216
Alicyclobacillus dauci--Alicyclobacillaceae--AB916540 (Valid)	73.59882005899705
Alkalicoccus chagannorensis--Bacillaceae--AM492159--NOT VALID	73.24749642346208
Paenibacillus gansuensis--Paenibacillaceae--AY839866 (Valid)	73.06590257879655
Alkalicoccus daliensis--Bacillaceae--GU583651--NOT VALID	73.05389221556887
Paenibacillus swuensis--Paenibacillaceae--CP011388 (Valid)	73.0
Paenibacillus sacheonensis--Paenibacillaceae--GU124597 (Valid)	72.85491419656786
Kiritimatiella glycovorans--Kiritimatiellaceae--CP010904 (Valid)	72.81831187410587
Rheinheimera salexigens--Chromatiaceae--KP026120 (Valid)	72.80575539568346
Orbus sasakiae--Orbaceae--JN561614 (Valid)	72.7810650887574
Evansella cellulosilyticus--Bacillaceae--AB043852--NOT VALID	72.7536231884058
Fluviispira multicolorata--Silvanigrellaceae--MN574303--NOT VALID	72.37654320987654
Paenibacillus taiwanensis--Paenibacillaceae--DQ890521 (Valid)	72.37410071942446
Aneurinibacillus soli--Paenibacillaceae--KJ739787 (Valid)	72.37410071942446
Paenibacillus taihuensis--Paenibacillaceae--JQ398861 (Valid)	72.20630372492836
Desulfitobacterium aromaticivorans--Peptococcaceae--EU711071 (Valid)	72.17928902627511
Evansella vedderi--Bacillaceae--Z48306--NOT VALID	72.1311475409836
Paenibacillus contaminans--Paenibacillaceae--EF626690 (Valid)	72.07207207207207
Salipaludibacillus aurantiacus--Bacillaceae--LN827662 (Valid)	71.59590043923866
Paenibacillus marinisediminis--Paenibacillaceae--JF748731 (Valid)	71.49187592319055
Paenibacillus sputi--Paenibacillaceae--FN394513 (Valid)	71.49187592319055
Salipaludibacillus neizhouensis--Bacillaceae--EU925618 (Valid)	71.49187592319055
Paenibacillus crassostreae--Paenibacillaceae--KU057345 (Valid)	71.01024890190337
Paenibacillus aquistagni--Paenibacillaceae--LT576422 (Valid)	70.95808383233533
Alkalicoccus saliphilus--Bacillaceae--AJ493660 (Valid)	70.85137085137086
Salipaludibacillus agaradhaerens--Bacillaceae--X76445 (Valid)	70.58823529411765
Salinisphaera dokdonensis--Salinisphaeraceae--EF988634 (Valid)	70.48929663608563
Evansella clarkii--Bacillaceae--X76444--NOT VALID	70.48710601719198
Salinisphaera hydrothermalis--Salinisphaeraceae--EU740416 (Valid)	70.47477744807121
Paenibacillus assamensis--Paenibacillaceae--AY884046 (Valid)	69.70149253731344
Paenibacillus populi--Paenibacillaceae--KJ000069 (Valid)	68.37481698389458
