#Species	GC%
Paenibacillus_crassostreae--RS_GCF_001857945.1	39.93%
Paenibacillus_taiwanensis--RS_GCF_000425125.1	44.79%
Paenibacillus_assamensis--RS_GCF_000422445.1	43.23%
Paenibacillus_aquistagni--RS_GCF_900177815.1	47.47%
Paenibacillus_swuensis--RS_GCF_001644605.1	48.93%
Paenibacillus_contaminans--RS_GCF_003285015.1	51.51%
Paenibacillus_sacheonensis--RS_GCF_009909195.1	56.35%
Paenibacillus_taihuensis--RS_GCF_003386535.1	51.6%
Alkalicoccus_daliensis--RS_GCF_900103955.1	42.29%
Alkalicoccus_luteus--RS_GCF_012034335.1	49.23%
Alkalicoccus_chagannorensis--RS_GCF_000429725.1	52.58%
Alkalicoccus_halolimnae--RS_GCF_008014775.1	44.92%
Alkalicoccus_saliphilus--RS_GCF_003044065.1	45.69%
Alkalicoccus_urumqiensis--RS_GCF_002993335.1	51.71%
Salipaludibacillus_aurantiacus--RS_GCF_900111295.1	42.42%
Salipaludibacillus_neizhouensis--RS_GCF_002886185.1	37.22%
Salipaludibacillus_agaradhaerens--RS_GCF_002019735.1	38.92%
Evansella_clarkii--RS_GCF_002019695.1	42.05%
Aneurinibacillus_soli--RS_GCF_002355375.1	45.89%
Desulfitobacterium_chlororespirans--RS_GCF_900143285.1	47.29%
Kiritimatiella_glycovorans--RS_GCF_001017655.1	63.31%
Chlamydia_avium--RS_GCF_000583875.1	36.88%
Chlamydia_gallinacea--RS_GCF_000471025.2	37.9%
Chlamydia_suis--RS_GCF_900169085.1	42.05%
Chlamydia_trachomatis--RS_GCF_000012125.1	41.27%
Chlamydia_muridarum--RS_GCF_000006685.1	40.3%
Chlamydia_pecorum--RS_GCF_000204135.1	41.08%
Chlamydia_pneumoniae--RS_GCF_000007205.1	40.58%
Parachlamydia_acanthamoebae--RS_GCF_000875975.1	38.94%
Simkania_negevensis--RS_GCF_000237205.1	41.6%
Waddlia_chondrophila--RS_GCF_000092785.1	43.74%
Rheinheimera_baltica--RS_GCF_000425345.1	46.19%
Salinisphaera_shabanensis--RS_GCF_000215955.2	61.62%
Aneurinibacillus_aneurinilyticus--RS_GCF_000466385.1	43.16%
Desulfitobacterium_dehalogenans--RS_GCF_000243155.2	44.97%
Orbus_hercynius--RS_GCF_003634275.1	38.75%
Rheinheimera_salexigens--RS_GCF_001752395.1	41.91%
Salinisphaera_hydrothermalis--RS_GCF_000732535.1	63.61%
Acidithiobacillus_thiooxidans--RS_GCF_009662475.1	53.04%
Fluviispira_multicolorata--RS_GCF_009208585.1	32.21%
