#Species	GC%
Mangrovimonas_spongiae--RS_GCF_003944795.1	33.95%
Croceibacter_atlanticus--RS_GCF_000196315.1	33.9%
Nonlabens_marinus--RS_GCF_000831385.1	39.53%
Robertkochia_solimangrovi--RS_GCF_007279655.1	40.72%
Fluviicola_taffensis--RS_GCF_000194605.1	36.49%
Putridiphycobacter_roseus--RS_GCF_003234935.1	34.1%
Owenweeksia_hongkongensis--RS_GCF_000236705.1	40.23%
Luteibaculum_oceani--RS_GCF_007995015.1	39.88%
Phaeocystidibacter_luteus--RS_GCF_008933115.1	46.47%
Phaeocystidibacter_marisrubri--RS_GCF_008933165.1	44.74%
Dysgonomonas_gadei--RS_GCF_000213555.1	39.53%
Labilibacter_sediminis--RS_GCF_005877885.1	35.88%
Saccharicrinis_fermentans--RS_GCF_000517085.1	37.55%
Puteibacter_caeruleilacunae--RS_GCF_005217565.1	37.72%
Maribellus_luteus--RS_GCF_003576475.1	44.07%
Ancylomarina_longa--RS_GCF_003996985.1	35.7%
Marinifilum_breve--RS_GCF_003202155.1	35.77%
Marinifilum_flexuosum--RS_GCF_003610555.1	35.88%
Balneicella_halophila--RS_GCF_003096835.1	35.47%
Alistipes_shahii--RS_GCF_000210575.1	55.82%
Alistipes_putredinis--RS_GCF_000154465.1	53.25%
Lentimicrobium_saccharophilum--RS_GCF_001192835.1	46.68%
Mucilaginibacter_oryzae--RS_GCF_003148845.1	44.24%
Daejeonella_rubra--RS_GCF_900103545.1	38.87%
Daejeonella_oryzae--RS_GCF_000422945.1	37.77%
Pedobacter_nanyangensis--RS_GCF_003313505.1	41.11%
Pedobacter_chitinilyticus--RS_GCF_003313385.1	39.19%
Pedobacter_rhizosphaerae--RS_GCF_900111155.1	39.23%
Pedobacter_agri--RS_GCF_000258495.1	38.01%
Pedobacter_lusitanus--RS_GCF_000832545.1	39.05%
Pedobacter_cryoconitis--RS_GCF_003259615.1	39.35%
Pedobacter_duraquae--RS_GCF_004362245.1	41.3%
Pedobacter_steynii--RS_GCF_900103665.1	41.76%
Pedobacter_metabolipauper--RS_GCF_004362715.1	40.63%
Albibacterium_bauzanense--RS_GCF_004339765.1	36.47%
Pedobacter_psychrophilus--RS_GCF_001652725.1	32.54%
Solitalea_longa--RS_GCF_002920915.1	38.38%
Cellulophaga_lytica--RS_GCF_000190595.1	32.11%
Mangrovimonas_yunxiaonensis--RS_GCF_000733475.1	39.24%
Nonlabens_tegetincola--RS_GCF_002954355.1	35.7%
Robertkochia_marina--RS_GCF_004799345.1	43.63%
Ancylomarina_subtilis--RS_GCF_004217115.1	36.88%
Marinifilum_fragile--RS_GCF_001310955.1	35.71%
Mucilaginibacter_paludis--RS_GCF_000166195.2	42.86%
Solitalea_koreensis--RS_GCF_900182575.1	37.71%
Lutibacter_citreus--RS_GCF_003260195.1	29.6%
Lutibacter_profundi--RS_GCF_001543325.1	29.77%
