#Species	GC%
Limnochorda_pilosa--RS_GCF_001544015.1	69.73%
Desulfofundulus_kuznetsovii--GB_GCA_000214705.1	54.88%
Mycobacterium_tuberculosis--RS_GCF_000195955.2	65.61%
Pseudonocardia_cypriaca--RS_GCF_006717045.1	72.74%
Pseudonocardia_hierapolitana--RS_GCF_007994075.1	72.62%
Actinoalloteichus_cyanogriseus--RS_GCF_000429185.1	72.49%
Acidipropionibacterium_virtanenii--RS_GCF_003325455.1	68.36%
Acidipropionibacterium_acidipropionici--RS_GCF_001441165.1	68.77%
Micropruina_glycogenica--RS_GCF_900289045.1	68.31%
Rubrobacter_xylanophilus--RS_GCF_007164525.1	68.69%
Treponema_caldarium--RS_GCF_000219725.1	45.58%
Syntrophorhabdus_aromaticivorans--RS_GCF_000512235.1	51.93%
Halorhodospira_halophila--RS_GCF_000015585.1	67.98%
Alteribacter_aurantiacus--RS_GCF_000429705.1	42.46%
Salibacterium_halotolerans--RS_GCF_900115625.1	47.65%
Geomicrobium_halophilum--RS_GCF_014207655.1	43.05%
Pseudonocardia_thermophila--RS_GCF_900142365.1	72.93%
Acidipropionibacterium_jensenii--RS_GCF_000425285.1	68.66%
Rubrobacter_radiotolerans--RS_GCF_900175965.1	66.52%
Halorhodospira_halochloris--RS_GCF_002356555.2	56.03%
Arboricoccus_pini--RS_GCF_900187945.1	63.15%
Salipaludibacillus_aurantiacus--RS_GCF_900111295.1	42.42%
Alteribacter_natronophilus--RS_GCF_006007885.1	48.89%
Evansella_clarkii--RS_GCF_002019695.1	42.05%
Alteribacter_populi--RS_GCF_002352765.1	40.02%
Salibacterium_qingdaonense--RS_GCF_900114715.1	47.44%
Marinococcus_halophilus--RS_GCF_002265875.1	47.25%
Marinococcus_halotolerans--RS_GCF_000420725.1	48.04%
Marinococcus_luteus--RS_GCF_900106595.1	48.15%
Salsuginibacillus_kocurii--RS_GCF_000377705.1	43.16%
